"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "1. saade. Anete Kruusimägi- kuidas hakata elukutseliseks reisijaks?"
"Tamara Podcast" ; 195 ; 50
;;; "Tamara Podcast - Mattias ja Kristel Naanlaid" ; 333 ; 22 ; 7 ; 0
;;; "Tamara Podcast - Margus ja Kristiina" ; 208 ; 5 ; 0 ; 0
;;; "Tamara Podcast - Martin Malm" ; 272 ; 8 ; 2 ; 0
;;; "Tamara Podcast - Siki Vol 2." ; 328 ; 6 ; 4 ; 0
;;; "Tamara Podcast - Katrena Tenno" ; 182 ; 5 ; 4 ; 0
;;; "Tamara Podcast - Silver Peeter Siiak 2" ; 274 ; 4 ; 3 ; 0
;;; "Tamara Podcast - Laura Mallene" ; 191 ; 3 ; 2 ; 0
;;; "Tamara Podcast - Mikk-Alvar Olle" ; 527 ; 7 ; 7 ; 0
;;; "Tamara Podcast - Seksijutud Sikiga" ; 941 ; 6 ; 8 ; 0
;;; "Tamara Podcast - Marko Kaldma" ; 283 ; 0 ; 10 ; 0
;;; "Tamara Podcast - Sandra Raju" ; 329 ; 4 ; 6 ; 0
;;; "Tamara Podcast - Kristina Partelpoeg" ; 562 ; 1 ; 11 ; 0
;;; "Tamara Talks With Marko Oolo" ; 387 ; 5 ; 3 ; 0
;;; "Tamara Talks With Ergi Asten" ; 454 ; 1 ; 4 ; 0
;;; "Tamara Talks With Artjom Savitski" ; 304 ; 0 ; 2 ; 0
;;; "with Silver Peeter Siiak" ; 286 ; 0 ; 8 ; 0
;;; "Tamara Talks with Okym and Tiiu" ; 345 ; 3 ; 5 ; 0
;;; "Tamara Talks With Rainer Ild and Sven Seinpere" ; 348 ; 2 ; 4 ; 0
;;; "Tamara Talks with Marco Tasane" ; 482 ; 13 ; 7 ; 0
;;; "Tamara Talks with Thomas & Nora" ; 180 ; 1 ; 2 ; 0
;;; "Tamara Talks with Inna Kovaljova" ; 1702 ; 4 ; 8 ; 1
;;; "Tamara Talks with Kristina Pärtelpoeg" ; 3284 ; 7 ; 52 ; 1
;;; "Tamara Talks With Ari Matti Mustonen" ; 578 ; 4 ; 6 ; 1
;;; "Tamara Talks with Hando Tõnumaa" ; 1405 ; 26 ; 12 ; 3
